periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,() of pregnant women adolescents (10-19 years),adolescent pregnancy,estimated post abortion,prop of monthly anc visit by preg adolescent,adolescents (10-14 years) with  pregnancy,adolescent family planning uptake 10-14 yrs,adolescent family planning uptake 15-19 yrs,adolescents (15-19 years) with  pregnancy
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Garissa County,Dadaab Sub County,Abakaile Ward,Mn7xPHjxcxb,Abakaile Ward,KE_Ward_151,,7,4,,2.9,,,,4
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Imenti South Sub County,Abogeta East Ward,nDZvyhVwri1,Abogeta East Ward,KE_Ward_293,,48.1,161,,16.2,1,37,14,160
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Imenti South Sub County,Abogeta West Ward,auJK9sKTX9b,Abogeta West Ward,KE_Ward_294,,42.6,20,,666.7,3,3,23,17
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Imenti Central Sub County,Abothuguchi Central Ward,Ay0bToL5BTE,Abothuguchi Central Ward,KE_Ward_286,,21.3,29,,,1,,24,28
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Imenti Central Sub County,Abothuguchi West Ward,ZVoIw8oAOWZ,Abothuguchi West Ward,KE_Ward_287,,11.3,34,,,1,,7,33
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Wajir County,Wajir West Sub County,Ademasajide Ward,BMKDCdHbiHL,Ademasajide Ward,KE_Ward_178,,19.4,12,0,4.6,,,,12
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kilifi County,Magarini Sub County,Adu Ward,EO3kbx8nZIp,Adu Ward,KE_Ward_83,,19.9,136,0,9.9,8,1,87,128
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward,soQ5zdUZi2H,Ageng'a Nanguba Ward,KE_Ward_1150,,25.8,78,0,8,3,1,338,75
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Nyeri County,Tetu Sub County,Aguthi-gaaki Ward,JIQYJYd5CzO,Aguthi-gaaki Ward,KE_Ward_468,,10.9,11,0,4,,,11,11
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisumu County,Nyando Sub County,Ahero Ward,F1etBBfosCl,Ahero Ward,KE_Ward_1208,,12.8,59,0,3.9,3,2,120,56
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Uasin Gishu County,Ainabkoi Sub County,Ainabkoi/Olare Ward,keTxMrb6Oag,Ainabkoi/Olare Ward,KE_Ward_721,,22.5,73,,8.1,,1,46,73
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kericho County,Ainamoi Sub County,Ainamoi Ward,ZJyTpeyEcK5,Ainamoi Ward,KE_Ward_945,,64,105,,20,11,,14,94
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Nairobi County,Kamukunji Sub County,Airbase Ward,t4Suo8Enc7T,Airbase Ward,KE_Ward_1437,,26.9,190,,9.4,53,1,60,137
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Mombasa County,Changamwe Sub County,Airport Ward,bmyrNLOPAAW,Airport Ward,KE_Ward_3,,9.4,59,,2.6,,2,38,59
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Igembe South Sub County,Akachiu Ward,mSPC54QXXiP,Akachiu Ward,KE_Ward_254,,36.7,109,,22,1,,77,108
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Igembe Central Sub County,Akirang'ondu Ward,CsVYL5oWdjy,Akirang'ondu Ward,KE_Ward_256,,35.3,113,,14,,,144,113
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Tigania West Sub County,Akithii Ward,bYsajNCrCgY,Akithii Ward,KE_Ward_267,,52.4,22,0,19.5,3,,48,19
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,West Pokot County,Pokot North Sub County,Alale Ward,Oe8JEzBVDa9,Alale Ward,KE_Ward_656,,20.6,71,0,12.8,1,,14,70
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Mandera County,Lafey Sub County,Alungo Gof Ward,zFbFESCJ8mq,Alungo Gof Ward,KE_Ward_220,,0,0,0,,,,,
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Nakuru County,Kuresoi South Sub County,Amalo Ward,okaRgHkp8W5,Amalo Ward,KE_Ward_849,,18,60,0,6.8,1,1,60,59
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Teso South Sub County,Amukura Central Ward,VAOZFeKsbAT,Amukura Central Ward,KE_Ward_1132,,13.6,18,0,9.3,,,24,18
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Teso South Sub County,Amukura East Ward,xPmSqaPoPFT,Amukura East Ward,KE_Ward_1131,,15.8,41,0,4.5,,,58,41
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Teso South Sub County,Amukura West Ward,GcsaAX4B8x8,Amukura West Ward,KE_Ward_1130,,20.1,37,0,4.5,,1,32,37
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Igembe North Sub County,Amwathi Ward,y1x13IydCG7,Amwathi Ward,KE_Ward_265,,41.3,279,,25.9,3,,134,276
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Teso South Sub County,Ang'orom Ward,umi4GRQTwG0,Ang'orom Ward,KE_Ward_1127,,17.5,58,0,15.7,,,932,58
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Teso North Sub County,Ang'urai East Ward,pVLJ4TYVNAR,Ang'urai East Ward,KE_Ward_1125,,51.6,63,,42.9,2,4,15,61
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Teso North Sub County,Ang'urai North Ward,oOa6cVAodY5,Ang'urai North Ward,KE_Ward_1124,,16.2,41,,4.6,,1,52,41
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Teso North Sub County,Ang'urai South Ward,OSO67hxKiUf,Ang'urai South Ward,KE_Ward_1123,,27.4,26,,18.7,,,30,26
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Narok County,Transmara West Sub County,Angata Barikoi Ward,QYQsVGsbKWg,Angata Barikoi Ward,KE_Ward_883,,18.8,45,,10.4,5,,28,40
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Samburu County,Samburu Central Sub County,Angata Nayokie Ward,O57e90leR9M,Angata Nayokie Ward,KE_Ward_670,,25.3,38,0,12.8,,,14,38
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Igembe North Sub County,Antuambui Ward,q5aojmYq2C4,Antuambui Ward,KE_Ward_261,,15.4,2,,9.1,,,13,2
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Igembe North Sub County,Antubetwe Kiongo Ward,iNmCeQG70K0,Antubetwe Kiongo Ward,KE_Ward_263,,44,22,,17.7,,3,118,22
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Mandera County,Mandera East Sub County,Arabia Ward,o8RzRkx3x4Q,Arabia Ward,KE_Ward_211,,17.8,30,0,11.2,1,,5,29
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Wajir County,Wajir West Sub County,Arbajahan Ward,xvlSuZsdYVY,Arbajahan Ward,KE_Ward_176,,30.2,73,0,12.1,,,10,73
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Elgeyo Marakwet County,Marakwet West Sub County,Arror Ward,nwXVUZOi5LN,Arror Ward,KE_Ward_740,,15.4,10,0,5.8,,,6,10
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Mandera County,Mandera North Sub County,Ashabito Ward,YJhdNCfPDKH,Ashabito Ward,KE_Ward_201,,0,0,,0,,,,
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Machakos County,Athi River Sub County,Athi River Ward,CYAMnUYLITU,Athi River Ward,KE_Ward_394,,12.4,138,,3.8,,,34,138
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kitui County,Kitui South Sub County,Athi Ward,amA6INYYpDG,Athi Ward,KE_Ward_370,,32.1,44,0,11.5,,,25,44
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Igembe South Sub County,Athiru Gaiti Ward,pK3bnoP5kpo,Athiru Gaiti Ward,KE_Ward_253,,74.4,119,,37.7,3,2,111,116
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Igembe Central Sub County,Athiru Ruujine Ward,mOMLW8dXVuR,Athiru Ruujine Ward,KE_Ward_257,,69.6,119,,31.7,2,,104,117
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Meru County,Tigania West Sub County,Athwana Ward,UE0iLMx0uAU,Athwana Ward,KE_Ward_266,,0,0,0,0,,,8,
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisumu County,Nyando Sub County,Awasi/Onjiko Ward,Vi7hrFiryu0,Awasi/Onjiko Ward,KE_Ward_1207,,16.2,45,0,4.1,4,1,90,41
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Samburu County,Samburu Central Sub County,Baawa Ward,W4gx1OjSjzp,Baawa Ward,KE_Ward_671,,58,69,0,71.9,33,2,11,36
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Nairobi County,Ruaraka Sub County,Babandogo Ward,OObzseEJrMs,Babandogo Ward,KE_Ward_1401,,7.9,101,0,3.8,11,,68,90
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Lamu County,Lamu West Sub County,Bahari Ward,m7FYoouCqec,Bahari Ward,KE_Ward_110,,37,119,,26.8,,2,29,119
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Nakuru County,Nakuru North Sub County,Bahati Ward,oK2KwbL5Dzx,Bahati Ward,KE_Ward_869,,15.1,74,0,4.7,,,27,74
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Garissa County,Balambala Sub County,Balambala Ward,UuAQ2amLjtB,Balambala Ward,KE_Ward_135,,23.8,41,0,10.1,1,,6,40
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kilifi County,Ganze Sub County,Bamba Ward,BE24fZlEXxt,Bamba Ward,KE_Ward_72,,11.2,53,0,3.4,1,,85,52
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Mombasa County,Kisauni Sub County,Bamburi Ward,J9QXQIm43fW,Bamburi Ward,KE_Ward_11,,0,0,,0,,4,16,
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Tana River County,Bura Sub County,Bangale Ward,SCxU4funihr,Bangale Ward,KE_Ward_98,,20.3,63,0,11,,,3,63
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Mandera County,Banissa Sub County,Banissa Ward,doitLG3v6PZ,Banissa Ward,KE_Ward_196,,4.7,9,0,2.5,,,,9
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Vihiga County,Hamisi Sub County,Banja Ward,r6KB3hMzaXh,Banja Ward,KE_Ward_1064,,1.2,1,0,0.4,,,,1
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kirinyaga County,Kirinyaga East Sub County,Baragwi Ward,zY1T5H8vk9z,Baragwi Ward,KE_Ward_505,,19.4,33,,5.9,,,17,33
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Garissa County,Lagdera Sub County,Baraki Ward,phpfjGEVjg8,Baraki Ward,KE_Ward_145,,0,0,0,0,,,,
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Baringo County,Baringo North Sub County,Bartabwa Ward,Tdyu1iQYirq,Bartabwa Ward,KE_Ward_792,,33.8,26,0,1300,1,,3,25
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Nakuru County,Nakuru West Sub County,Barut Ward,pfFWXloU0jC,Barut Ward,KE_Ward_870,,44.4,12,0,22.2,,,17,12
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Wajir County,Wajir East Sub County,Barwago Ward,x1BOzSCIanu,Barwago Ward,KE_Ward_170,,0,0,0,0,,,,
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Baringo County,Baringo North Sub County,Barwessa Ward,OlKUTmnTY57,Barwessa Ward,KE_Ward_788,,37.7,72,0,85.7,2,1,40,70
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,Bobasi Sub County,Basi Central Ward,UGCnusbnkFI,Basi Central Ward,KE_Ward_1317,,15.1,45,0,4.8,,,42,45
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,Bobasi Sub County,Bassi Bogetaorio Ward,u15fCmBOYHT,Bassi Bogetaorio Ward,KE_Ward_1319,,31.4,32,0,13.6,,2,59,32
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Wajir County,Wajir North Sub County,Batalu Ward,eQSeYqhadbw,Batalu Ward,KE_Ward_165,,27.3,12,0,12.5,,,2,12
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,West Pokot County,Pokot South Sub County,Batei Ward,Vfo6mLv2MkA,Batei Ward,KE_Ward_658,,22.1,174,,71.9,2,2,62,172
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Garissa County,Lagdera Sub County,Benane Ward,y8xlePXkWw3,Benane Ward,KE_Ward_184,,13.6,8,0,5.9,,,,8
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Wajir County,Wajir South Sub County,Benane Ward,TRdcXjEmmMS,Benane Ward,KE_Ward_141,,21.9,33,0,7.8,1,,,32
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Nakuru County,Nakuru East Sub County,Biashara Ward,BA2zKL0pmeI,Biashara Ward,KE_Ward_876,,26.4,258,0,8.7,153,,42,105
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Nakuru County,Naivasha Sub County,Biashara Ward,lW5g42Bv4Rk,Biashara Ward,KE_Ward_836,,20,7,,5.9,,,11,7
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kiambu County,Ruiru Sub County,Biashara Ward,uQXYQokmIzX,Biashara Ward,KE_Ward_570,,7.2,124,0,3.5,2,,79,122
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kiambu County,Limuru Sub County,Bibirioni Ward,cSNzNEfbQfk,Bibirioni Ward,KE_Ward_601,,8,2,0,33.3,,,6,2
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Trans Nzoia County,Kwanza Sub County,Bidii Ward,NAWbghvoSOZ,Bidii Ward,KE_Ward_679,,23.4,15,0,12.5,,,13,15
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,Nyaribari Chache Sub County,Birongo Ward,g8iPQGXNRmg,Birongo Ward,KE_Ward_1335,,36.5,19,0,10,,,11,19
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,Nyaribari Chache Sub County,Bobaracho Ward,H5US8Zu9bIJ,Bobaracho Ward,KE_Ward_1331,,15.2,15,0,5.7,1,1,47,14
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,Bobasi Sub County,Bobasi Chache Ward,Xwhn2CB2cZ3,Bobasi Chache Ward,KE_Ward_1320,,17.5,25,0,6.7,,2,42,25
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,Bobasi Sub County,Bobasi/Boitangare Ward,wXOHBThI5Kf,Bobasi/Boitangare Ward,KE_Ward_1322,,22,18,0,6.8,1,2,91,17
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Mombasa County,Likoni Sub County,Bofu Ward,dHlamDlw0NG,Bofu Ward,KE_Ward_23,,8,2,,2.6,,,27,2
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,Kitutu Chache South Sub County,Bogeka Ward,TwsN9rzFim6,Bogeka Ward,KE_Ward_1342,,35.2,37,0,1850,1,,14,36
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,South Mugirango Sub County,Bogetenga Ward,NZLSKCRL1O0,Bogetenga Ward,KE_Ward_1307,,46,133,,154.7,61,8,51,72
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,Bonchari Sub County,Bogiakumu Ward,JKJtpBP77A1,Bogiakumu Ward,KE_Ward_1302,,27.3,50,,8.1,,,72,50
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Nyamira County,Nyamira Sub County,Bogichora Ward,odXKgaPu8B0,Bogichora Ward,KE_Ward_1353,,32.7,125,,16.3,3,29,1159,122
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,Kitutu Chache South Sub County,Bogusero Ward,rWETDR5My3k,Bogusero Ward,KE_Ward_1341,,23.9,47,0,81,1,2,44,46
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,South Mugirango Sub County,Boikanga Ward,OrArvkA4MbA,Boikanga Ward,KE_Ward_1306,,29.4,15,,11.7,1,29,14,14
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Bomet County,Konoin Sub County,Boito Ward,w8SzXPBdjgq,Boito Ward,KE_Ward_989,,33.3,45,0,14.4,1,,64,44
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Nyamira County,Nyamira North Sub County,Bokeira Ward,nvxLbNo63Zw,Bokeira Ward,KE_Ward_1359,,27,80,,9.5,5,22,477,75
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,Bomachoge Borabu Sub County,Bokimonge Ward,F0FgIasVA92,Bokimonge Ward,KE_Ward_1313,,35.9,144,,18.5,6,21,125,138
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Bungoma County,Webuye West Sub County,Bokoli Ward,rAJO40KF2F6,Bokoli Ward,KE_Ward_1110,,20.7,75,0,5.2,3,1,72,72
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Taita Taveta County,Taveta Sub County,Bomani Ward,umrac2I2Sg9,Bomani Ward,KE_Ward_113,,6.3,18,,257.1,,,65,18
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,Bonchari Sub County,Bomariba Ward,lRfveTknPgF,Bomariba Ward,KE_Ward_1301,,25.4,30,,11.3,,1,30,30
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,Bomachoge Borabu Sub County,Bombaba Borabu Ward,q6eyMKDnFA0,Bombaba Borabu Ward,KE_Ward_1311,,66.7,4,,36.4,,2,718,4
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,Bonchari Sub County,Bomorenda Ward,MyzWMCaSFlX,Bomorenda Ward,KE_Ward_1303,,30.8,90,,18.4,,,58,90
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Nyamira County,Nyamira North Sub County,Bomwagamo Ward,Z4MKjHrF1wJ,Bomwagamo Ward,KE_Ward_1358,,34.8,47,,12.2,3,6,73,44
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Nyamira County,Nyamira Sub County,Bonyamatuta Ward,d7n8GfG2cFO,Bonyamatuta Ward,KE_Ward_1355,,60.6,103,,25,72,1,146,31
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,Bomachoge Borabu Sub County,Boochi Borabu Ward,iklOZN0Ok77,Boochi Borabu Ward,KE_Ward_1312,,18.5,60,,6.4,2,1,21,58
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,Bomachoge Chache Sub County,Boochi/Tendere Ward,R8gqeFZV0qT,Boochi/Tendere Ward,KE_Ward_1324,,18,134,,6.8,5,4,100,129
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,South Mugirango Sub County,Borabu/Chitago Ward,fBGAi2rHJgE,Borabu/Chitago Ward,KE_Ward_1308,,32.9,130,,21.5,55,54,48,75
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Nyamira County,Nyamira Sub County,Bosamaro Ward,b3aaM8BOTDz,Bosamaro Ward,KE_Ward_1354,,28.3,106,,11,2,1,178,104
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kisii County,Bomachoge Chache Sub County,Bosoti/Sengera Ward,BNC4x8wPAsw,Bosoti/Sengera Ward,KE_Ward_1325,,49.3,73,,20.3,1,1,134,72
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Bungoma County,Kanduyi Sub County,Bukembe East Ward,gsSTglpX3Wd,Bukembe East Ward,KE_Ward_1097,,22.2,60,0,5.7,,,47,60
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Bungoma County,Kanduyi Sub County,Bukembe West Ward,r6SlF5OJDxM,Bukembe West Ward,KE_Ward_1096,,46.5,20,0,12.8,,3,18,20
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Nambale Sub County,Bukhayo Central Ward,i26gx3p4d5E,Bukhayo Central Ward,KE_Ward_1136,,34.7,26,0,10.7,,,31,26
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Nambale Sub County,Bukhayo East Ward,ov8OgPXuR5N,Bukhayo East Ward,KE_Ward_1135,,23.2,53,0,6.5,,,42,53
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Nambale Sub County,Bukhayo North/Walatsi Ward,YXM5WOeQkyO,Bukhayo North/Walatsi Ward,KE_Ward_1134,,31.5,68,0,9,,,33,68
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Matayos Sub County,Bukhayo West Ward,xMPuIHmGdYe,Bukhayo West Ward,KE_Ward_1137,,23.4,55,0,7.3,,30,112,55
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Migori County,Kuria West Sub County,Bukira Central/Ikerege Ward,mLrXAhflEvn,Bukira Central/Ikerege Ward,KE_Ward_1290,,18.9,27,0,10.2,1,,31,26
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Migori County,Kuria West Sub County,Bukira East Ward,lOqK0cwQKaH,Bukira East Ward,KE_Ward_1289,,14.9,63,0,7.3,1,,27,62
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Isiolo County,Isiolo Sub County,Bulla Pesa Ward,aVUy55683jB,Bulla Pesa Ward,KE_Ward_242,,14,30,0,10.9,1,,13,29
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Bungoma County,Bumula Sub County,Bumula Ward,dOJaTypeyA9,Bumula Ward,KE_Ward_1090,,19.6,76,0,4.9,3,,58,73
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Bunyala Sub County,Bunyala Central Ward,L8VRh5JlUik,Bunyala Central Ward,KE_Ward_1152,,21,22,0,5,,4,38,22
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kakamega County,Navakholo Sub County,Bunyala Central Ward,Qa2LjBCOXby,Bunyala Central Ward,KE_Ward_1019,,15.2,42,0,5.8,1,2,98,41
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kakamega County,Navakholo Sub County,Bunyala East Ward,ddOJaw1OQwA,Bunyala East Ward,KE_Ward_1018,,22,35,0,9.7,,2,32,35
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Bunyala Sub County,Bunyala North Ward,FrPqZ0quyrF,Bunyala North Ward,KE_Ward_1153,,12.1,22,0,6.5,2,,51,20
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Bunyala Sub County,Bunyala South Ward,BBkS40b5WG7,Bunyala South Ward,KE_Ward_1155,,31.5,35,0,9.6,,,42,35
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Bunyala Sub County,Bunyala West Ward,XqcnCg0VZ7k,Bunyala West Ward,KE_Ward_1154,,13.7,33,0,3.4,2,,40,31
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kakamega County,Navakholo Sub County,Bunyala West Ward,soqBddsWHf5,Bunyala West Ward,KE_Ward_1017,,23.1,96,0,15.8,,,97,96
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Garissa County,Fafi Sub County,Bura Ward,kqTPEb1RsMy,Bura Ward,KE_Ward_152,,14.5,19,0,32.2,1,,7,18
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Tana River County,Bura Sub County,Bura Ward,vKo6mot8397,Bura Ward,KE_Ward_97,,41.5,136,0,149.5,2,,24,134
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Taita Taveta County,Mwatate Sub County,Bura(Mwatate) Ward,VDvkL0vcV5e,Bura(Mwatate) Ward,KE_Ward_122,,19.6,22,,6.5,,29,12,22
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Isiolo County,Isiolo Sub County,Burat Ward,PwpI3UVqNMb,Burat Ward,KE_Ward_246,,51.3,116,0,92.8,,5,44,116
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Wajir County,Wajir South Sub County,Burder Ward,dFbf5rdQdI9,Burder Ward,KE_Ward_185,,0,0,0,0,,,,
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Matayos Sub County,Burumba Ward,Yk6G4ret1OC,Burumba Ward,KE_Ward_1141,,16.5,148,0,4.7,2,,508,146
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Vihiga County,Sabatia Sub County,Busali Ward,cUBWuuQYISs,Busali Ward,KE_Ward_1060,,77.5,69,0,23.4,,,27,69
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Matayos Sub County,Busibwabo Ward,cgTC3oqgmKg,Busibwabo Ward,KE_Ward_1140,,16.5,17,0,4.4,1,9,64,16
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kakamega County,Malava Sub County,Butali/Chegulo Ward,WlgJjiJVyHY,Butali/Chegulo Ward,KE_Ward_1005,,12.6,13,0,4.2,,13,192,13
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Wajir County,Wajir North Sub County,Bute Ward,hp28cyo1lbf,Bute Ward,KE_Ward_162,,38.3,57,0,17,,,6,57
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Marsabit County,Moyale Sub County,Butiye Ward,g3PamYQCz5A,Butiye Ward,KE_Ward_221,,25,21,0,8.9,,,38,21
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kakamega County,Lurambi Sub County,Butsotso Central Ward,IgadIOg14CX,Butsotso Central Ward,KE_Ward_1011,,13.2,18,0,4.6,3,2,60,15
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kakamega County,Lurambi Sub County,Butsotso East Ward,dFH6aZXT2rd,Butsotso East Ward,KE_Ward_1009,,32.4,22,0,9.3,,,18,22
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Kakamega County,Lurambi Sub County,Butsotso South Ward,t8eg6hgrHEp,Butsotso South Ward,KE_Ward_1010,,34.3,80,0,10.9,1,,77,79
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Bungoma County,Kabuchai Sub County,Bwake/Luuya Ward,sKD6tJgPfbh,Bwake/Luuya Ward,KE_Ward_1087,,13.3,21,0,12.1,,,22,21
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Busia County,Samia Sub County,Bwiri Ward,fKK4JksHULe,Bwiri Ward,KE_Ward_1151,,12.7,13,0,4.2,,,24,13
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Nairobi County,Kamukunji Sub County,California Ward,LR8RoEpERGM,California Ward,KE_Ward_1438,,11.3,68,,23.9,,,2,68
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Siaya County,Alego Usonga Sub County,Central Alego Ward,fpnhZCEZEGQ,Central Alego Ward,KE_Ward_1165,,31.5,101,0,10.8,1,1,173,100
2020Q1,Jan to Mar 2020,2020Q1,,Kenya,Vihiga County,Emuhaya Sub County,Central Bunyore Ward,rF4SKTlT0XH,Central Bunyore Ward,KE_Ward_1074,,36.6,49,0,9.2,2,7,19,47
