periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,() of pregnant women adolescents (10-19 years),adolescent pregnancy,estimated post abortion,prop of monthly anc visit by preg adolescent,adolescents (10-14 years) with  pregnancy,adolescent family planning uptake 10-14 yrs,adolescent family planning uptake 15-19 yrs,adolescents (15-19 years) with  pregnancy
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Kiambu County,Thika Town Sub County,Kamenu Ward,A7a1GZJvTGD,Kamenu Ward,KE_Ward_565,,15.1,79,,2.9,,,58,79
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nyamira County,Manga Sub County,Kamera Ward,ZJdVAPAukav,Kamera Ward,KE_Ward_1348,,28.5,51,0,10.9,2,4,73,49
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Bungoma County,Kimilili Sub County,Kamukuywa Ward,krBcnnShWw6,Kamukuywa Ward,KE_Ward_1114,,14.7,35,0,4.3,7,41,106,28
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Turkana County,Turkana Central Sub County,Kanamkemer Ward,U0eLQb7xmyu,Kanamkemer Ward,KE_Ward_628,,16.4,29,0,4.8,3,,1,26
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Turkana County,Turkana Central Sub County,Kang'atotha Ward,qQtpJ2wdCay,Kang'atotha Ward,KE_Ward_625,,10.7,25,0,4.5,,,14,25
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Kirinyaga County,Kirinyaga North/Mwea West Sub County,Kangai Ward,fghL5DnydV2,Kangai Ward,KE_Ward_497,,23.1,9,,5.1,,,,9
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Muranga County,Kigumo Sub County,Kangari Ward,PyVnQFcBqOT,Kangari Ward,KE_Ward_531,,24.4,41,0,11.1,1,,17,40
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Nairobi County,Westlands Sub County,Kangemi Ward,HWHpeXSxVCb,Kangemi Ward,KE_Ward_1369,,16.5,140,,25.8,73,,78,67
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Meru County,Igembe Central Sub County,Kangeta Ward,cN3gQ1BXbVr,Kangeta Ward,KE_Ward_260,,37.2,77,,18.2,2,4,95,75
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Machakos County,Kangundo Sub County,Kangundo Central Ward,xcOIxh5GkD7,Kangundo Central Ward,KE_Ward_382,,31.6,55,,5.9,,1,14,55
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Machakos County,Kangundo Sub County,Kangundo East Ward,hBftnwiDBHL,Kangundo East Ward,KE_Ward_383,,63.8,30,,18.9,1,62,56,29
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Machakos County,Kangundo Sub County,Kangundo North Ward,GCpjuDfIVDu,Kangundo North Ward,KE_Ward_381,,34.6,18,,11.6,,,20,18
2017Q2,Apr to Jun 2017,2017Q2,,Kenya,Machakos County,Kangundo Sub County,Kangundo West Ward,Q66EmTxlCi3,Kangundo West Ward,KE_Ward_384,,54.5,66,,18.7,,20,18,66
